Lat,Lon,secDay,Water temp (C),Salinity (PSU),O2 umol/L,Chl a (mg/m3),sw pCO2 (uatm)
43.72207,-70.151826,54542,1.386344,31.570259999999998,784.793048,1.0455020000000002,221.032418
43.721982000000004,-70.151133,54562,1.374572,31.568669,784.35567,1.052918,220.71946400000002
43.721909000000004,-70.15044,54582,1.3895870000000001,31.572052000000003,783.976227,1.0572409999999999,220.23769900000002
43.721851,-70.14986,54602,1.3845379999999998,31.574137,783.784418,1.066382,220.288356
43.721790999999996,-70.14934000000001,54622,1.412413,31.578195,784.077606,1.066734,220.401617
43.721727,-70.148854,54642,1.416017,31.574472999999998,784.712593,1.057395,220.545469
43.721652,-70.14842900000001,54662,1.365682,31.564137,785.563105,1.035174,220.678775
43.721538,-70.14800699999999,54682,1.355659,31.560496,786.164602,1.018332,220.802614
43.721441,-70.147661,54702,1.330168,31.554409000000003,786.645997,1.013442,220.01290099999997
43.721381,-70.147467,54722,1.293375,31.549972999999998,787.037767,1.016502,218.473644
43.721398,-70.147426,54742,1.261148,31.546252000000003,787.484747,1.026923,218.005135
43.721446,-70.147432,54762,1.2289370000000002,31.545409000000003,787.814792,1.035548,217.21140400000002
43.721486,-70.14743299999999,54782,1.2170290000000001,31.545415000000002,787.9984360000001,1.040712,216.447613
43.721503000000006,-70.14741,54802,1.208832,31.545615,788.077608,1.0491540000000001,215.717045
43.721498,-70.147348,54822,1.2068459999999999,31.545704999999998,788.04034,1.059485,218.806754
43.721472999999996,-70.14728199999999,54842,1.194272,31.545648,787.890321,1.058007,218.18696200000002
43.72145,-70.147227,54862,1.185068,31.545396000000004,787.576541,1.0430110000000001,216.74428799999998
43.721431,-70.14718,54882,1.217994,31.545145,787.309242,1.023471,215.23381
43.721402000000005,-70.14716899999999,54902,1.26054,31.544736,787.168937,1.0205549999999999,214.350077
43.721393,-70.147183,54922,1.286023,31.545140000000004,787.278098,1.035112,214.70255699999998
43.721395,-70.14717399999999,54942,1.2768389999999998,31.548074,787.395003,1.058422,214.41745099999997
43.721392,-70.147136,54962,1.277498,31.548176,787.4709740000001,1.08171,216.11308799999998
43.721385999999995,-70.14709,54982,1.285576,31.548282,787.4410389999999,1.103063,216.426942
43.721382,-70.14704499999999,55002,1.280163,31.547271000000002,787.48092,1.112075,215.379484
43.721423,-70.146941,55022,1.278448,31.54565,787.6517719999999,1.1112440000000001,215.96142000000003
43.721509999999995,-70.146796,55042,1.2756379999999998,31.546083000000003,788.032297,1.091872,215.75527000000002
43.721625,-70.146751,55062,1.273033,31.543934000000004,788.3170709999999,1.068614,215.789308
43.721733,-70.146761,55082,1.250024,31.545568,788.429001,1.059613,215.22249300000001
43.721796000000005,-70.146794,55102,1.258408,31.545494,788.2178389999999,1.0566280000000001,214.64750899999999
43.721832,-70.1468,55122,1.282174,31.545370000000002,788.036424,1.059482,213.812425
43.721863,-70.146777,55142,1.288513,31.54433,787.962003,1.049542,212.922623
43.721924,-70.146783,55162,1.261452,31.545532,787.9726820000001,1.038432,212.990965
43.721963,-70.146824,55182,1.269803,31.546232,787.94831,1.0339450000000001,213.43344900000002
43.721978,-70.146906,55202,1.277355,31.546506,787.871884,1.036706,214.124006
43.721993,-70.146984,55222,1.27578,31.545403999999998,787.766338,1.036761,214.527481
43.722025,-70.14699999999999,55242,1.277929,31.544881,787.639296,1.032103,213.608082
43.722055,-70.146987,55262,1.268262,31.545198,787.522258,1.0211430000000001,213.532909
43.72204,-70.14693199999999,55282,1.2539930000000001,31.544932,787.503892,1.0170190000000001,213.278487
43.721971,-70.146879,55302,1.267776,31.544728999999997,787.5290190000001,1.016981,213.89677000000003
43.721883,-70.146833,55322,1.278751,31.545066,787.560883,1.024458,213.42711699999998
43.72184,-70.146789,55342,1.272476,31.545436,787.4217070000001,1.031666,213.46483700000002
43.721832,-70.146733,55362,1.269681,31.545337,787.025102,1.041688,214.841731
43.721861,-70.14667299999999,55382,1.2564110000000002,31.545503999999998,786.541791,1.044237,216.97047799999999
43.72193,-70.146716,55402,1.239417,31.546171,786.7110190000001,1.036071,217.75558999999998
43.721934999999995,-70.14681999999999,55422,1.273669,31.545112,787.1651469999999,1.025577,217.671832
43.721872999999995,-70.146867,55442,1.267036,31.545803000000003,787.7326469999999,1.019435,216.99516
43.72182,-70.146865,55462,1.27017,31.546746000000002,787.6621349999999,1.023566,215.12968700000002
43.721790999999996,-70.146834,55482,1.280178,31.546590999999996,787.531477,1.028209,215.29795499999997
43.721764,-70.146824,55502,1.283234,31.547414,787.4707530000001,1.030261,214.70330499999997
43.72177,-70.146813,55522,1.280799,31.546801000000002,787.496721,1.036258,215.006575
43.721798,-70.146765,55542,1.276905,31.546910999999998,787.561855,1.0392350000000001,214.061552
43.721874,-70.146759,55562,1.2717399999999999,31.547053000000002,787.631737,1.0485200000000001,214.369439
43.721926,-70.146829,55582,1.2799200000000002,31.549813,787.625888,1.063958,214.375011
43.72191,-70.146877,55602,1.285536,31.548138,787.5545440000001,1.066335,214.97130299999998
